occupation,visa_type,分数线,该线获邀率%,该线样本n,EOI总数,曾获邀
134213 Primary Health Organisation Manager,491FSR Family Sponsored - Regional,,,,46.0,0.0
134213 Primary Health Organisation Manager,491SNR State or Territory Nominated - Regional,,,,693.0,20.0
134214 Welfare Centre Manager,189PTS Points-Tested Stream,,,,27.0,2.0
134214 Welfare Centre Manager,190SAS Skilled Australian Sponsored,,,,52.0,4.0
134214 Welfare Centre Manager,491FSR Family Sponsored - Regional,,,,1.0,0.0
134214 Welfare Centre Manager,491SNR State or Territory Nominated - Regional,,,,39.0,1.0
134299 Health and Welfare Services Managers nec,190SAS Skilled Australian Sponsored,85.0,17.4,121.0,1360.0,72.0
134299 Health and Welfare Services Managers nec,491SNR State or Territory Nominated - Regional,,,,1679.0,83.0
134311 School Principal,190SAS Skilled Australian Sponsored,,,,250.0,13.0
134311 School Principal,491SNR State or Territory Nominated - Regional,,,,517.0,14.0
134412 Regional Education Manager,491SNR State or Territory Nominated - Regional,,,,44.0,4.0
134499 Education Managers nec,190SAS Skilled Australian Sponsored,,,,243.0,7.0
134499 Education Managers nec,491SNR State or Territory Nominated - Regional,,,,231.0,7.0
135112 ICT Project Manager,189PTS Points-Tested Stream,,,,8.0,0.0
135112 ICT Project Manager,190SAS Skilled Australian Sponsored,,,,8715.0,123.0
135112 ICT Project Manager,491SNR State or Territory Nominated - Regional,,,,9691.0,59.0
135199 ICT Managers nec,189PTS Points-Tested Stream,,,,1.0,0.0
135199 ICT Managers nec,190SAS Skilled Australian Sponsored,,,,2998.0,46.0
135199 ICT Managers nec,491SNR State or Territory Nominated - Regional,,,,3395.0,39.0
139911 Arts Administrator or Manager,189PTS Points-Tested Stream,,,,169.0,31.0
139911 Arts Administrator or Manager,190SAS Skilled Australian Sponsored,,,,275.0,16.0
139911 Arts Administrator or Manager,491FSR Family Sponsored - Regional,,,,10.0,1.0
139911 Arts Administrator or Manager,491SNR State or Territory Nominated - Regional,,,,194.0,5.0
139912 Environmental Manager,189PTS Points-Tested Stream,80.0,21.2,80.0,575.0,62.0
139912 Environmental Manager,190SAS Skilled Australian Sponsored,90.0,20.4,93.0,1247.0,37.0
139912 Environmental Manager,491FSR Family Sponsored - Regional,,,,49.0,6.0
139912 Environmental Manager,491SNR State or Territory Nominated - Regional,100.0,20.0,60.0,1385.0,21.0
139913 Laboratory Manager,190SAS Skilled Australian Sponsored,,,,278.0,4.0
139913 Laboratory Manager,491SNR State or Territory Nominated - Regional,,,,314.0,3.0
139914 Quality Assurance Manager,190SAS Skilled Australian Sponsored,,,,2411.0,16.0
139914 Quality Assurance Manager,491SNR State or Territory Nominated - Regional,,,,3142.0,9.0
139915 Sports Administrator,491SNR State or Territory Nominated - Regional,,,,53.0,3.0
139999 Specialist Managers nec,190SAS Skilled Australian Sponsored,,,,384.0,12.0
139999 Specialist Managers nec,491SNR State or Territory Nominated - Regional,,,,432.0,10.0
141111 Cafe or Restaurant Manager,189PTS Points-Tested Stream,,,,4.0,0.0
141111 Cafe or Restaurant Manager,190SAS Skilled Australian Sponsored,80.0,11.4,988.0,6875.0,498.0
141111 Cafe or Restaurant Manager,491FSR Family Sponsored - Regional,,,,1.0,0.0
141111 Cafe or Restaurant Manager,491SNR State or Territory Nominated - Regional,105.0,14.3,98.0,9312.0,528.0
141211 Caravan Park and Camping Ground Manager,491SNR State or Territory Nominated - Regional,,,,15.0,4.0
141311 Hotel or Motel Manager,189PTS Points-Tested Stream,,,,4.0,0.0
141311 Hotel or Motel Manager,190SAS Skilled Australian Sponsored,75.0,11.2,412.0,2351.0,214.0
141311 Hotel or Motel Manager,491SNR State or Territory Nominated - Regional,90.0,10.9,311.0,2859.0,213.0
141999 Accommodation and Hospitality Managers nec,190SAS Skilled Australian Sponsored,70.0,10.2,59.0,264.0,20.0
141999 Accommodation and Hospitality Managers nec,491SNR State or Territory Nominated - Regional,,,,372.0,20.0
142115 Post Office Manager,491SNR State or Territory Nominated - Regional,,,,32.0,2.0
149111 Amusement Centre Manager,491SNR State or Territory Nominated - Regional,,,,5.0,0.0
149112 Fitness Centre Manager,491SNR State or Territory Nominated - Regional,,,,199.0,3.0
149113 Sports Centre Manager,491SNR State or Territory Nominated - Regional,,,,44.0,0.0
149212 Customer Service Manager,190SAS Skilled Australian Sponsored,,,,1848.0,29.0
149212 Customer Service Manager,491SNR State or Territory Nominated - Regional,,,,2830.0,32.0
149311 Conference and Event Organiser,190SAS Skilled Australian Sponsored,,,,2426.0,71.0
149311 Conference and Event Organiser,491SNR State or Territory Nominated - Regional,,,,3220.0,102.0
149413 Transport Company Manager,190SAS Skilled Australian Sponsored,,,,454.0,12.0
149413 Transport Company Manager,491SNR State or Territory Nominated - Regional,,,,659.0,19.0
149913 Facilities Manager,190SAS Skilled Australian Sponsored,,,,996.0,24.0
149913 Facilities Manager,491SNR State or Territory Nominated - Regional,,,,1531.0,23.0
149914 Financial Institution Branch Manager,189PTS Points-Tested Stream,,,,1.0,0.0
149914 Financial Institution Branch Manager,190SAS Skilled Australian Sponsored,,,,1.0,0.0
149914 Financial Institution Branch Manager,491SNR State or Territory Nominated - Regional,,,,3979.0,10.0
211112 Dancer or Choreographer,189PTS Points-Tested Stream,,,,31.0,7.0
211112 Dancer or Choreographer,190SAS Skilled Australian Sponsored,,,,62.0,2.0
211112 Dancer or Choreographer,491FSR Family Sponsored - Regional,,,,4.0,0.0
211112 Dancer or Choreographer,491SNR State or Territory Nominated - Regional,,,,58.0,2.0
211212 Music Director,189PTS Points-Tested Stream,,,,18.0,2.0
211212 Music Director,190SAS Skilled Australian Sponsored,,,,19.0,2.0
211212 Music Director,491FSR Family Sponsored - Regional,,,,1.0,0.0
211212 Music Director,491SNR State or Territory Nominated - Regional,,,,10.0,0.0
211213 Musician (Instrumental),189PTS Points-Tested Stream,,,,61.0,11.0
211213 Musician (Instrumental),190SAS Skilled Australian Sponsored,,,,63.0,8.0
211213 Musician (Instrumental),491FSR Family Sponsored - Regional,,,,4.0,0.0
211213 Musician (Instrumental),491SNR State or Territory Nominated - Regional,,,,40.0,4.0
211299 Music Professionals nec,190SAS Skilled Australian Sponsored,,,,5.0,0.0
211299 Music Professionals nec,491SNR State or Territory Nominated - Regional,,,,4.0,0.0
211311 Photographer,190SAS Skilled Australian Sponsored,,,,175.0,5.0
211311 Photographer,491SNR State or Territory Nominated - Regional,,,,218.0,3.0
212111 Artistic Director,189PTS Points-Tested Stream,,,,5.0,1.0
212111 Artistic Director,190SAS Skilled Australian Sponsored,,,,5.0,2.0
212111 Artistic Director,491FSR Family Sponsored - Regional,,,,2.0,0.0
212212 Book or Script Editor,190SAS Skilled Australian Sponsored,,,,69.0,2.0
212212 Book or Script Editor,491SNR State or Territory Nominated - Regional,,,,67.0,1.0
"212312 Director (Film, Television, Radio or Stage)",190SAS Skilled Australian Sponsored,,,,64.0,2.0
"212312 Director (Film, Television, Radio or Stage)",491SNR State or Territory Nominated - Regional,,,,54.0,0.0
212314 Film and Video Editor,190SAS Skilled Australian Sponsored,,,,290.0,6.0
212314 Film and Video Editor,491SNR State or Territory Nominated - Regional,,,,292.0,7.0
212315 Program Director (Television or Radio),190SAS Skilled Australian Sponsored,,,,56.0,0.0
212315 Program Director (Television or Radio),491SNR State or Territory Nominated - Regional,,,,63.0,0.0
212316 Stage Manager,190SAS Skilled Australian Sponsored,,,,17.0,0.0
212316 Stage Manager,491SNR State or Territory Nominated - Regional,,,,15.0,0.0
212317 Technical Director,189PTS Points-Tested Stream,,,,1.0,0.0
212317 Technical Director,190SAS Skilled Australian Sponsored,,,,10.0,0.0
212317 Technical Director,491SNR State or Territory Nominated - Regional,,,,9.0,0.0
212318 Video Producer,190SAS Skilled Australian Sponsored,,,,324.0,3.0
212318 Video Producer,491SNR State or Territory Nominated - Regional,,,,229.0,1.0
212411 Copywriter,190SAS Skilled Australian Sponsored,,,,625.0,9.0
212411 Copywriter,491SNR State or Territory Nominated - Regional,,,,590.0,6.0
212412 Newspaper or Periodical Editor,190SAS Skilled Australian Sponsored,,,,164.0,4.0
212412 Newspaper or Periodical Editor,491SNR State or Territory Nominated - Regional,,,,179.0,2.0
212413 Print Journalist,190SAS Skilled Australian Sponsored,,,,232.0,4.0
212413 Print Journalist,491SNR State or Territory Nominated - Regional,,,,226.0,0.0
212415 Technical Writer,190SAS Skilled Australian Sponsored,,,,587.0,11.0
212415 Technical Writer,491SNR State or Territory Nominated - Regional,,,,569.0,10.0
212416 Television Journalist,190SAS Skilled Australian Sponsored,,,,160.0,3.0
212416 Television Journalist,491SNR State or Territory Nominated - Regional,,,,145.0,2.0
212499 Journalists and Other Writers nec,190SAS Skilled Australian Sponsored,,,,276.0,5.0
212499 Journalists and Other Writers nec,491SNR State or Territory Nominated - Regional,,,,251.0,5.0
221111 Accountant (General),189PTS Points-Tested Stream,95.0,34.8,1381.0,33622.0,1076.0
221111 Accountant (General),190SAS Skilled Australian Sponsored,100.0,14.2,1425.0,43193.0,1403.0
221111 Accountant (General),491FSR Family Sponsored - Regional,,,,1703.0,21.0
221111 Accountant (General),491SNR State or Territory Nominated - Regional,110.0,11.4,691.0,39391.0,1208.0
221112 Management Accountant,189PTS Points-Tested Stream,95.0,20.2,193.0,6436.0,67.0
221112 Management Accountant,190SAS Skilled Australian Sponsored,,,,8151.0,49.0
221112 Management Accountant,491FSR Family Sponsored - Regional,,,,389.0,1.0
221112 Management Accountant,491SNR State or Territory Nominated - Regional,,,,7885.0,49.0
221113 Taxation Accountant,189PTS Points-Tested Stream,90.0,26.3,658.0,6970.0,276.0
221113 Taxation Accountant,190SAS Skilled Australian Sponsored,95.0,10.8,609.0,7260.0,147.0
221113 Taxation Accountant,491FSR Family Sponsored - Regional,,,,320.0,2.0
221113 Taxation Accountant,491SNR State or Territory Nominated - Regional,,,,6396.0,70.0
221211 Company Secretary,190SAS Skilled Australian Sponsored,,,,480.0,2.0
221211 Company Secretary,491SNR State or Territory Nominated - Regional,,,,636.0,2.0
221213 External Auditor,189PTS Points-Tested Stream,90.0,34.0,1127.0,16470.0,591.0
221213 External Auditor,190SAS Skilled Australian Sponsored,,,,17662.0,315.0
221213 External Auditor,491FSR Family Sponsored - Regional,,,,548.0,2.0
221213 External Auditor,491SNR State or Territory Nominated - Regional,,,,13033.0,172.0
221214 Internal Auditor,189PTS Points-Tested Stream,90.0,21.8,101.0,1871.0,42.0
221214 Internal Auditor,190SAS Skilled Australian Sponsored,,,,4685.0,49.0
221214 Internal Auditor,491FSR Family Sponsored - Regional,,,,135.0,0.0
221214 Internal Auditor,491SNR State or Territory Nominated - Regional,,,,5051.0,27.0
222111 Commodities Trader,190SAS Skilled Australian Sponsored,,,,133.0,6.0
222111 Commodities Trader,491SNR State or Territory Nominated - Regional,,,,136.0,2.0
222112 Finance Broker,190SAS Skilled Australian Sponsored,,,,452.0,10.0
222112 Finance Broker,491SNR State or Territory Nominated - Regional,,,,462.0,14.0
222113 Insurance Broker,190SAS Skilled Australian Sponsored,,,,402.0,6.0
222113 Insurance Broker,491SNR State or Territory Nominated - Regional,,,,453.0,6.0
222199 Financial Brokers nec,190SAS Skilled Australian Sponsored,,,,39.0,0.0
222199 Financial Brokers nec,491SNR State or Territory Nominated - Regional,,,,35.0,0.0
222211 Financial Market Dealer,190SAS Skilled Australian Sponsored,,,,415.0,2.0
222211 Financial Market Dealer,491SNR State or Territory Nominated - Regional,,,,465.0,0.0
