occupation,visa_type,分数线,该线获邀率%,该线样本n,EOI总数,曾获邀
233111 Chemical Engineer,190SAS Skilled Australian Sponsored,95.0,23.6,592.0,10361.0,341.0
233111 Chemical Engineer,491FSR Family Sponsored - Regional,,,,238.0,2.0
233111 Chemical Engineer,491SNR State or Territory Nominated - Regional,105.0,15.7,255.0,9689.0,140.0
233112 Materials Engineer,189PTS Points-Tested Stream,85.0,16.7,126.0,1064.0,106.0
233112 Materials Engineer,190SAS Skilled Australian Sponsored,95.0,10.6,141.0,1857.0,43.0
233112 Materials Engineer,491FSR Family Sponsored - Regional,,,,66.0,3.0
233112 Materials Engineer,491SNR State or Territory Nominated - Regional,,,,1677.0,17.0
233211 Civil Engineer,189PTS Points-Tested Stream,90.0,28.9,1869.0,30165.0,1234.0
233211 Civil Engineer,190SAS Skilled Australian Sponsored,95.0,13.0,2606.0,56510.0,1520.0
233211 Civil Engineer,491FSR Family Sponsored - Regional,,,,1241.0,16.0
233211 Civil Engineer,491SNR State or Territory Nominated - Regional,105.0,11.3,1034.0,53324.0,1074.0
233212 Geotechnical Engineer,189PTS Points-Tested Stream,75.0,18.6,156.0,773.0,88.0
233212 Geotechnical Engineer,190SAS Skilled Australian Sponsored,90.0,12.2,90.0,1302.0,55.0
233212 Geotechnical Engineer,491FSR Family Sponsored - Regional,,,,6.0,0.0
233212 Geotechnical Engineer,491SNR State or Territory Nominated - Regional,,,,1029.0,16.0
233213 Quantity Surveyor,189PTS Points-Tested Stream,75.0,31.2,725.0,3443.0,713.0
233213 Quantity Surveyor,190SAS Skilled Australian Sponsored,80.0,12.0,979.0,5289.0,364.0
233213 Quantity Surveyor,491FSR Family Sponsored - Regional,,,,66.0,8.0
233213 Quantity Surveyor,491SNR State or Territory Nominated - Regional,,,,3634.0,117.0
233214 Structural Engineer,189PTS Points-Tested Stream,75.0,26.9,450.0,1986.0,309.0
233214 Structural Engineer,190SAS Skilled Australian Sponsored,90.0,11.7,369.0,4264.0,228.0
233214 Structural Engineer,491FSR Family Sponsored - Regional,,,,36.0,0.0
233214 Structural Engineer,491SNR State or Territory Nominated - Regional,,,,3239.0,57.0
233215 Transport Engineer,189PTS Points-Tested Stream,75.0,27.6,123.0,518.0,76.0
233215 Transport Engineer,190SAS Skilled Australian Sponsored,,,,1181.0,35.0
233215 Transport Engineer,491FSR Family Sponsored - Regional,,,,8.0,0.0
233215 Transport Engineer,491SNR State or Territory Nominated - Regional,,,,1023.0,17.0
233311 Electrical Engineer,189PTS Points-Tested Stream,90.0,28.1,821.0,15084.0,441.0
233311 Electrical Engineer,190SAS Skilled Australian Sponsored,95.0,11.9,1273.0,29662.0,518.0
233311 Electrical Engineer,491FSR Family Sponsored - Regional,,,,754.0,8.0
233311 Electrical Engineer,491SNR State or Territory Nominated - Regional,,,,31063.0,314.0
233411 Electronics Engineer,189PTS Points-Tested Stream,90.0,31.4,506.0,9152.0,310.0
233411 Electronics Engineer,190SAS Skilled Australian Sponsored,95.0,12.7,715.0,16720.0,289.0
233411 Electronics Engineer,491FSR Family Sponsored - Regional,,,,538.0,3.0
233411 Electronics Engineer,491SNR State or Territory Nominated - Regional,,,,17447.0,126.0
233511 Industrial Engineer,189PTS Points-Tested Stream,90.0,21.4,126.0,2318.0,54.0
233511 Industrial Engineer,190SAS Skilled Australian Sponsored,,,,5146.0,83.0
233511 Industrial Engineer,491FSR Family Sponsored - Regional,,,,101.0,2.0
233511 Industrial Engineer,491SNR State or Territory Nominated - Regional,,,,5065.0,49.0
233512 Mechanical Engineer,189PTS Points-Tested Stream,90.0,28.0,1980.0,26598.0,929.0
233512 Mechanical Engineer,190SAS Skilled Australian Sponsored,95.0,10.7,2843.0,50943.0,840.0
233512 Mechanical Engineer,491FSR Family Sponsored - Regional,105.0,11.3,53.0,1323.0,15.0
233512 Mechanical Engineer,491SNR State or Territory Nominated - Regional,,,,52957.0,584.0
233513 Production or Plant Engineer,189PTS Points-Tested Stream,90.0,42.2,166.0,2671.0,92.0
233513 Production or Plant Engineer,190SAS Skilled Australian Sponsored,95.0,12.6,325.0,6798.0,95.0
233513 Production or Plant Engineer,491FSR Family Sponsored - Regional,,,,145.0,1.0
233513 Production or Plant Engineer,491SNR State or Territory Nominated - Regional,,,,7217.0,43.0
233611 Mining Engineer (excluding Petroleum),189PTS Points-Tested Stream,80.0,21.8,238.0,1638.0,227.0
233611 Mining Engineer (excluding Petroleum),190SAS Skilled Australian Sponsored,85.0,13.5,319.0,2825.0,161.0
233611 Mining Engineer (excluding Petroleum),491FSR Family Sponsored - Regional,,,,50.0,4.0
233611 Mining Engineer (excluding Petroleum),491SNR State or Territory Nominated - Regional,95.0,13.5,215.0,3000.0,97.0
233612 Petroleum Engineer,189PTS Points-Tested Stream,80.0,28.2,142.0,1074.0,166.0
233612 Petroleum Engineer,190SAS Skilled Australian Sponsored,90.0,21.4,224.0,1989.0,100.0
233612 Petroleum Engineer,491FSR Family Sponsored - Regional,,,,34.0,3.0
233612 Petroleum Engineer,491SNR State or Territory Nominated - Regional,100.0,12.1,124.0,1836.0,41.0
233911 Aeronautical Engineer,189PTS Points-Tested Stream,90.0,30.3,76.0,1236.0,49.0
233911 Aeronautical Engineer,190SAS Skilled Australian Sponsored,95.0,11.4,132.0,2030.0,47.0
233911 Aeronautical Engineer,491FSR Family Sponsored - Regional,,,,66.0,0.0
233911 Aeronautical Engineer,491SNR State or Territory Nominated - Regional,,,,1710.0,19.0
233912 Agricultural Engineer,189PTS Points-Tested Stream,,,,401.0,9.0
233912 Agricultural Engineer,190SAS Skilled Australian Sponsored,,,,719.0,10.0
233912 Agricultural Engineer,491FSR Family Sponsored - Regional,,,,29.0,0.0
233912 Agricultural Engineer,491SNR State or Territory Nominated - Regional,,,,965.0,12.0
233913 Biomedical Engineer,189PTS Points-Tested Stream,90.0,27.5,120.0,1522.0,55.0
233913 Biomedical Engineer,190SAS Skilled Australian Sponsored,,,,3106.0,38.0
233913 Biomedical Engineer,491FSR Family Sponsored - Regional,,,,107.0,0.0
233913 Biomedical Engineer,491SNR State or Territory Nominated - Regional,,,,2935.0,12.0
233914 Engineering Technologist,189PTS Points-Tested Stream,90.0,26.3,1132.0,17903.0,495.0
233914 Engineering Technologist,190SAS Skilled Australian Sponsored,95.0,11.8,1312.0,30325.0,492.0
233914 Engineering Technologist,491FSR Family Sponsored - Regional,,,,966.0,4.0
233914 Engineering Technologist,491SNR State or Territory Nominated - Regional,,,,32632.0,381.0
233915 Environmental Engineer,189PTS Points-Tested Stream,90.0,23.5,119.0,1436.0,58.0
233915 Environmental Engineer,190SAS Skilled Australian Sponsored,100.0,16.4,61.0,2081.0,59.0
233915 Environmental Engineer,491FSR Family Sponsored - Regional,,,,43.0,0.0
233915 Environmental Engineer,491SNR State or Territory Nominated - Regional,,,,1766.0,50.0
233916 Naval Architect,189PTS Points-Tested Stream,,,,144.0,6.0
233916 Naval Architect,190SAS Skilled Australian Sponsored,,,,403.0,11.0
233916 Naval Architect,491FSR Family Sponsored - Regional,,,,11.0,0.0
233916 Naval Architect,491SNR State or Territory Nominated - Regional,,,,340.0,4.0
233999 Engineering Professionals nec,189PTS Points-Tested Stream,90.0,21.6,347.0,4256.0,138.0
233999 Engineering Professionals nec,190SAS Skilled Australian Sponsored,95.0,11.2,394.0,6142.0,152.0
233999 Engineering Professionals nec,491FSR Family Sponsored - Regional,,,,144.0,1.0
233999 Engineering Professionals nec,491SNR State or Territory Nominated - Regional,,,,5071.0,81.0
234111 Agricultural Consultant,189PTS Points-Tested Stream,80.0,26.1,299.0,2475.0,269.0
234111 Agricultural Consultant,190SAS Skilled Australian Sponsored,85.0,11.7,445.0,5037.0,178.0
234111 Agricultural Consultant,491FSR Family Sponsored - Regional,,,,125.0,1.0
234111 Agricultural Consultant,491SNR State or Territory Nominated - Regional,95.0,12.5,375.0,6717.0,120.0
234112 Agricultural Scientist,189PTS Points-Tested Stream,80.0,24.6,167.0,1041.0,211.0
234112 Agricultural Scientist,190SAS Skilled Australian Sponsored,85.0,11.8,245.0,1761.0,108.0
234112 Agricultural Scientist,491FSR Family Sponsored - Regional,,,,32.0,1.0
234112 Agricultural Scientist,491SNR State or Territory Nominated - Regional,95.0,11.6,138.0,1405.0,50.0
234113 Forester,189PTS Points-Tested Stream,,,,190.0,24.0
234113 Forester,190SAS Skilled Australian Sponsored,,,,216.0,19.0
234113 Forester,491FSR Family Sponsored - Regional,,,,18.0,1.0
234113 Forester,491SNR State or Territory Nominated - Regional,,,,209.0,9.0
234211 Chemist,189PTS Points-Tested Stream,85.0,27.1,251.0,2005.0,212.0
234211 Chemist,190SAS Skilled Australian Sponsored,90.0,11.5,383.0,4309.0,121.0
234211 Chemist,491FSR Family Sponsored - Regional,,,,115.0,3.0
234211 Chemist,491SNR State or Territory Nominated - Regional,100.0,11.5,226.0,5206.0,65.0
234212 Food Technologist,189PTS Points-Tested Stream,85.0,25.1,350.0,2429.0,262.0
234212 Food Technologist,190SAS Skilled Australian Sponsored,90.0,12.1,480.0,4451.0,142.0
234212 Food Technologist,491FSR Family Sponsored - Regional,,,,99.0,2.0
234212 Food Technologist,491SNR State or Territory Nominated - Regional,100.0,10.6,254.0,4132.0,77.0
234213 Wine Maker,491SNR State or Territory Nominated - Regional,,,,49.0,8.0
234311 Conservation Officer,491SNR State or Territory Nominated - Regional,,,,33.0,0.0
234312 Environmental Consultant,189PTS Points-Tested Stream,80.0,25.5,251.0,1655.0,399.0
234312 Environmental Consultant,190SAS Skilled Australian Sponsored,85.0,13.3,375.0,2535.0,275.0
234312 Environmental Consultant,491FSR Family Sponsored - Regional,,,,45.0,2.0
234312 Environmental Consultant,491SNR State or Territory Nominated - Regional,95.0,11.2,179.0,1918.0,101.0
234313 Environmental Research Scientist,189PTS Points-Tested Stream,80.0,19.6,102.0,622.0,149.0
234313 Environmental Research Scientist,190SAS Skilled Australian Sponsored,85.0,12.3,138.0,945.0,101.0
234313 Environmental Research Scientist,491FSR Family Sponsored - Regional,,,,35.0,3.0
234313 Environmental Research Scientist,491SNR State or Territory Nominated - Regional,95.0,23.1,52.0,617.0,43.0
234399 Environmental Scientists nec,189PTS Points-Tested Stream,,,,103.0,25.0
234399 Environmental Scientists nec,190SAS Skilled Australian Sponsored,,,,203.0,15.0
234399 Environmental Scientists nec,491FSR Family Sponsored - Regional,,,,24.0,0.0
234399 Environmental Scientists nec,491SNR State or Territory Nominated - Regional,,,,171.0,4.0
234411 Geologist,190SAS Skilled Australian Sponsored,,,,2157.0,57.0
234411 Geologist,491SNR State or Territory Nominated - Regional,,,,2267.0,42.0
234412 Geophysicist,189PTS Points-Tested Stream,,,,228.0,29.0
234412 Geophysicist,190SAS Skilled Australian Sponsored,,,,454.0,23.0
234412 Geophysicist,491FSR Family Sponsored - Regional,,,,8.0,1.0
234412 Geophysicist,491SNR State or Territory Nominated - Regional,,,,496.0,8.0
234413 Hydrogeologist,189PTS Points-Tested Stream,,,,172.0,22.0
234413 Hydrogeologist,190SAS Skilled Australian Sponsored,,,,358.0,20.0
234413 Hydrogeologist,491FSR Family Sponsored - Regional,,,,2.0,0.0
234413 Hydrogeologist,491SNR State or Territory Nominated - Regional,,,,327.0,6.0
234511 Life Scientist (General),189PTS Points-Tested Stream,85.0,24.4,176.0,1047.0,221.0
234511 Life Scientist (General),190SAS Skilled Australian Sponsored,90.0,15.4,201.0,1502.0,136.0
234511 Life Scientist (General),491FSR Family Sponsored - Regional,,,,29.0,1.0
234511 Life Scientist (General),491SNR State or Territory Nominated - Regional,,,,960.0,23.0
234513 Biochemist,189PTS Points-Tested Stream,,,,326.0,39.0
234513 Biochemist,190SAS Skilled Australian Sponsored,,,,576.0,24.0
234513 Biochemist,491FSR Family Sponsored - Regional,,,,26.0,0.0
234513 Biochemist,491SNR State or Territory Nominated - Regional,,,,519.0,3.0
234514 Biotechnologist,189PTS Points-Tested Stream,85.0,20.9,253.0,1611.0,240.0
234514 Biotechnologist,190SAS Skilled Australian Sponsored,90.0,10.8,315.0,2500.0,156.0
234514 Biotechnologist,491FSR Family Sponsored - Regional,,,,60.0,1.0
234514 Biotechnologist,491SNR State or Territory Nominated - Regional,105.0,17.6,68.0,2051.0,45.0
234515 Botanist,189PTS Points-Tested Stream,,,,62.0,1.0
234515 Botanist,190SAS Skilled Australian Sponsored,,,,130.0,2.0
234515 Botanist,491FSR Family Sponsored - Regional,,,,22.0,0.0
234515 Botanist,491SNR State or Territory Nominated - Regional,,,,111.0,1.0
234516 Marine Biologist,189PTS Points-Tested Stream,,,,176.0,35.0
234516 Marine Biologist,190SAS Skilled Australian Sponsored,,,,279.0,31.0
234516 Marine Biologist,491SNR State or Territory Nominated - Regional,,,,191.0,6.0
234517 Microbiologist,189PTS Points-Tested Stream,85.0,20.7,111.0,997.0,76.0
234517 Microbiologist,190SAS Skilled Australian Sponsored,95.0,21.9,64.0,1920.0,46.0
234517 Microbiologist,491FSR Family Sponsored - Regional,,,,55.0,2.0
234517 Microbiologist,491SNR State or Territory Nominated - Regional,,,,2107.0,22.0
234518 Zoologist,189PTS Points-Tested Stream,,,,98.0,16.0
234518 Zoologist,190SAS Skilled Australian Sponsored,,,,161.0,9.0
234518 Zoologist,491FSR Family Sponsored - Regional,,,,3.0,0.0
234518 Zoologist,491SNR State or Territory Nominated - Regional,,,,164.0,3.0
234599 Life Scientists nec,189PTS Points-Tested Stream,85.0,21.4,70.0,348.0,61.0
234599 Life Scientists nec,190SAS Skilled Australian Sponsored,90.0,11.0,82.0,499.0,44.0
234599 Life Scientists nec,491FSR Family Sponsored - Regional,,,,4.0,0.0
234599 Life Scientists nec,491SNR State or Territory Nominated - Regional,,,,273.0,6.0
234611 Medical Laboratory Scientist,189PTS Points-Tested Stream,75.0,21.9,494.0,1770.0,387.0
234611 Medical Laboratory Scientist,190SAS Skilled Australian Sponsored,85.0,19.5,430.0,3040.0,256.0
234611 Medical Laboratory Scientist,491FSR Family Sponsored - Regional,,,,61.0,2.0
234611 Medical Laboratory Scientist,491SNR State or Territory Nominated - Regional,95.0,18.9,249.0,2274.0,128.0
234711 Veterinarian,189PTS Points-Tested Stream,80.0,21.5,205.0,998.0,310.0
234711 Veterinarian,190SAS Skilled Australian Sponsored,85.0,17.6,176.0,855.0,198.0
234711 Veterinarian,491FSR Family Sponsored - Regional,,,,2.0,0.0
234711 Veterinarian,491SNR State or Territory Nominated - Regional,,,,164.0,36.0
234911 Conservator,189PTS Points-Tested Stream,,,,20.0,1.0
234911 Conservator,190SAS Skilled Australian Sponsored,,,,27.0,2.0
234911 Conservator,491SNR State or Territory Nominated - Regional,,,,23.0,1.0
234912 Metallurgist,189PTS Points-Tested Stream,,,,475.0,42.0
234912 Metallurgist,190SAS Skilled Australian Sponsored,90.0,16.0,50.0,1016.0,26.0
234912 Metallurgist,491FSR Family Sponsored - Regional,,,,18.0,0.0
234912 Metallurgist,491SNR State or Territory Nominated - Regional,,,,1118.0,17.0
234913 Meteorologist,189PTS Points-Tested Stream,,,,62.0,7.0
234913 Meteorologist,190SAS Skilled Australian Sponsored,,,,67.0,5.0
234913 Meteorologist,491FSR Family Sponsored - Regional,,,,15.0,1.0
234913 Meteorologist,491SNR State or Territory Nominated - Regional,,,,77.0,2.0
234914 Physicist,189PTS Points-Tested Stream,85.0,39.6,53.0,384.0,98.0
234914 Physicist,190SAS Skilled Australian Sponsored,85.0,12.7,71.0,535.0,57.0
234914 Physicist,491FSR Family Sponsored - Regional,,,,15.0,0.0
234914 Physicist,491SNR State or Territory Nominated - Regional,,,,361.0,11.0
234915 Exercise Physiologist,491SNR State or Territory Nominated - Regional,,,,130.0,15.0
234999 Natural and Physical Science Professionals nec,189PTS Points-Tested Stream,,,,100.0,31.0
234999 Natural and Physical Science Professionals nec,190SAS Skilled Australian Sponsored,,,,132.0,27.0
234999 Natural and Physical Science Professionals nec,491FSR Family Sponsored - Regional,,,,6.0,1.0
234999 Natural and Physical Science Professionals nec,491SNR State or Territory Nominated - Regional,,,,60.0,13.0
241111 Early Childhood (Pre-primary School) Teacher,189PTS Points-Tested Stream,75.0,12.7,5951.0,29793.0,2974.0
241111 Early Childhood (Pre-primary School) Teacher,190SAS Skilled Australian Sponsored,85.0,10.2,5319.0,33889.0,2382.0
241111 Early Childhood (Pre-primary School) Teacher,491FSR Family Sponsored - Regional,90.0,13.8,138.0,649.0,55.0
241111 Early Childhood (Pre-primary School) Teacher,491SNR State or Territory Nominated - Regional,100.0,14.0,1640.0,21775.0,1004.0
241213 Primary School Teacher,189PTS Points-Tested Stream,,,,2.0,0.0
241213 Primary School Teacher,190SAS Skilled Australian Sponsored,75.0,10.2,743.0,3878.0,417.0
241213 Primary School Teacher,491SNR State or Territory Nominated - Regional,65.0,10.3,78.0,2222.0,199.0
241311 Middle School Teacher,190SAS Skilled Australian Sponsored,70.0,10.2,118.0,535.0,42.0
241311 Middle School Teacher,491SNR State or Territory Nominated - Regional,,,,504.0,32.0
241411 Secondary School Teacher,189PTS Points-Tested Stream,75.0,24.9,1752.0,8114.0,1982.0
241411 Secondary School Teacher,190SAS Skilled Australian Sponsored,80.0,15.5,2597.0,12698.0,1631.0
241411 Secondary School Teacher,491FSR Family Sponsored - Regional,,,,194.0,33.0
241411 Secondary School Teacher,491SNR State or Territory Nominated - Regional,95.0,22.9,572.0,8366.0,555.0
241511 Special Needs Teacher,189PTS Points-Tested Stream,,,,186.0,46.0
241511 Special Needs Teacher,190SAS Skilled Australian Sponsored,70.0,10.5,76.0,264.0,50.0
241511 Special Needs Teacher,491FSR Family Sponsored - Regional,,,,5.0,3.0
241511 Special Needs Teacher,491SNR State or Territory Nominated - Regional,,,,153.0,17.0
241512 Teacher of the Hearing Impaired,189PTS Points-Tested Stream,,,,3.0,1.0
241512 Teacher of the Hearing Impaired,190SAS Skilled Australian Sponsored,,,,7.0,1.0
241513 Teacher of the Sight Impaired,189PTS Points-Tested Stream,,,,2.0,0.0
241513 Teacher of the Sight Impaired,190SAS Skilled Australian Sponsored,,,,1.0,1.0
241513 Teacher of the Sight Impaired,491SNR State or Territory Nominated - Regional,,,,2.0,0.0
241599 Special Education Teachers nec,189PTS Points-Tested Stream,,,,45.0,6.0
241599 Special Education Teachers nec,190SAS Skilled Australian Sponsored,,,,78.0,3.0
241599 Special Education Teachers nec,491SNR State or Territory Nominated - Regional,,,,44.0,2.0
242111 University Lecturer,189PTS Points-Tested Stream,85.0,21.6,837.0,8019.0,641.0
242111 University Lecturer,190SAS Skilled Australian Sponsored,95.0,15.9,819.0,16113.0,462.0
242111 University Lecturer,491FSR Family Sponsored - Regional,80.0,22.8,57.0,437.0,49.0
242111 University Lecturer,491SNR State or Territory Nominated - Regional,,,,15940.0,134.0
242211 Vocational Education Teacher,189PTS Points-Tested Stream,,,,2.0,0.0
242211 Vocational Education Teacher,491SNR State or Territory Nominated - Regional,,,,1784.0,37.0
249111 Education Adviser,190SAS Skilled Australian Sponsored,,,,242.0,13.0
249111 Education Adviser,491SNR State or Territory Nominated - Regional,,,,252.0,10.0
249211 Art Teacher (Private Tuition),190SAS Skilled Australian Sponsored,,,,22.0,0.0
249211 Art Teacher (Private Tuition),491SNR State or Territory Nominated - Regional,,,,65.0,0.0
249212 Dance Teacher (Private Tuition),190SAS Skilled Australian Sponsored,,,,55.0,1.0
249212 Dance Teacher (Private Tuition),491SNR State or Territory Nominated - Regional,,,,62.0,0.0
249214 Music Teacher (Private Tuition),190SAS Skilled Australian Sponsored,,,,245.0,4.0
249214 Music Teacher (Private Tuition),491SNR State or Territory Nominated - Regional,,,,267.0,5.0
249299 Private Tutors and Teachers nec,189PTS Points-Tested Stream,,,,2.0,0.0
249299 Private Tutors and Teachers nec,190SAS Skilled Australian Sponsored,,,,1724.0,19.0
249299 Private Tutors and Teachers nec,491SNR State or Territory Nominated - Regional,,,,3603.0,19.0
249311 Teacher of English to Speakers of Other Languages,190SAS Skilled Australian Sponsored,,,,1687.0,54.0
249311 Teacher of English to Speakers of Other Languages,491SNR State or Territory Nominated - Regional,,,,2242.0,48.0
251111 Dietitian,190SAS Skilled Australian Sponsored,,,,405.0,22.0
251111 Dietitian,491SNR State or Territory Nominated - Regional,,,,153.0,15.0
251112 Nutritionist,190SAS Skilled Australian Sponsored,,,,930.0,15.0
251112 Nutritionist,491SNR State or Territory Nominated - Regional,,,,1261.0,28.0
251211 Medical Diagnostic Radiographer,189PTS Points-Tested Stream,75.0,34.3,181.0,665.0,203.0
251211 Medical Diagnostic Radiographer,190SAS Skilled Australian Sponsored,80.0,16.1,280.0,1000.0,140.0
251211 Medical Diagnostic Radiographer,491FSR Family Sponsored - Regional,,,,13.0,6.0
251211 Medical Diagnostic Radiographer,491SNR State or Territory Nominated - Regional,,,,434.0,27.0
251212 Medical Radiation Therapist,189PTS Points-Tested Stream,,,,67.0,15.0
251212 Medical Radiation Therapist,190SAS Skilled Australian Sponsored,,,,83.0,9.0
251212 Medical Radiation Therapist,491SNR State or Territory Nominated - Regional,,,,7.0,0.0
251213 Nuclear Medicine Technologist,189PTS Points-Tested Stream,,,,15.0,5.0
251213 Nuclear Medicine Technologist,190SAS Skilled Australian Sponsored,,,,30.0,6.0
251213 Nuclear Medicine Technologist,491SNR State or Territory Nominated - Regional,,,,11.0,2.0
251214 Sonographer,189PTS Points-Tested Stream,,,,82.0,36.0
251214 Sonographer,190SAS Skilled Australian Sponsored,,,,112.0,14.0
251214 Sonographer,491SNR State or Territory Nominated - Regional,,,,45.0,3.0
251311 Environmental Health Officer,491SNR State or Territory Nominated - Regional,,,,253.0,11.0
251312 Occupational Health and Safety Adviser,190SAS Skilled Australian Sponsored,75.0,10.5,200.0,1269.0,94.0
251312 Occupational Health and Safety Adviser,491SNR State or Territory Nominated - Regional,,,,1485.0,53.0
251411 Optometrist,189PTS Points-Tested Stream,,,,133.0,39.0
251411 Optometrist,190SAS Skilled Australian Sponsored,,,,126.0,21.0
251411 Optometrist,491FSR Family Sponsored - Regional,,,,2.0,1.0
251411 Optometrist,491SNR State or Territory Nominated - Regional,,,,29.0,4.0
251412 Orthoptist,190SAS Skilled Australian Sponsored,,,,23.0,6.0
251412 Orthoptist,491SNR State or Territory Nominated - Regional,,,,20.0,1.0
251511 Hospital Pharmacist,189PTS Points-Tested Stream,,,,1.0,0.0
251511 Hospital Pharmacist,190SAS Skilled Australian Sponsored,,,,14885.0,139.0
251511 Hospital Pharmacist,491SNR State or Territory Nominated - Regional,,,,19875.0,207.0
251512 Industrial Pharmacist,190SAS Skilled Australian Sponsored,,,,3270.0,15.0
251512 Industrial Pharmacist,491SNR State or Territory Nominated - Regional,,,,4557.0,45.0
251513 Retail Pharmacist,190SAS Skilled Australian Sponsored,,,,27906.0,308.0
251513 Retail Pharmacist,491FSR Family Sponsored - Regional,,,,1.0,0.0
251513 Retail Pharmacist,491SNR State or Territory Nominated - Regional,,,,34990.0,319.0
251911 Health Promotion Officer,190SAS Skilled Australian Sponsored,90.0,20.0,65.0,878.0,72.0
251911 Health Promotion Officer,491SNR State or Territory Nominated - Regional,,,,801.0,54.0
251912 Orthotist or Prosthetist,189PTS Points-Tested Stream,,,,25.0,4.0
251912 Orthotist or Prosthetist,190SAS Skilled Australian Sponsored,,,,21.0,3.0
251912 Orthotist or Prosthetist,491SNR State or Territory Nominated - Regional,,,,15.0,0.0
251999 Health Diagnostic and Promotion Professionals nec,190SAS Skilled Australian Sponsored,,,,234.0,14.0
251999 Health Diagnostic and Promotion Professionals nec,491SNR State or Territory Nominated - Regional,,,,248.0,11.0
252111 Chiropractor,189PTS Points-Tested Stream,80.0,11.5,139.0,475.0,39.0
252111 Chiropractor,190SAS Skilled Australian Sponsored,,,,530.0,28.0
252111 Chiropractor,491SNR State or Territory Nominated - Regional,,,,365.0,11.0
252112 Osteopath,189PTS Points-Tested Stream,,,,32.0,8.0
252112 Osteopath,190SAS Skilled Australian Sponsored,,,,43.0,6.0
252112 Osteopath,491FSR Family Sponsored - Regional,,,,1.0,0.0
252112 Osteopath,491SNR State or Territory Nominated - Regional,,,,12.0,1.0
252211 Acupuncturist,190SAS Skilled Australian Sponsored,,,,29.0,2.0
252211 Acupuncturist,491SNR State or Territory Nominated - Regional,,,,10.0,2.0
252213 Naturopath,190SAS Skilled Australian Sponsored,,,,71.0,1.0
252213 Naturopath,491SNR State or Territory Nominated - Regional,,,,68.0,1.0
252214 Traditional Chinese Medicine Practitioner,190SAS Skilled Australian Sponsored,,,,33.0,1.0
252214 Traditional Chinese Medicine Practitioner,491SNR State or Territory Nominated - Regional,,,,11.0,1.0
252299 Complementary Health Therapists nec,190SAS Skilled Australian Sponsored,,,,252.0,4.0
252299 Complementary Health Therapists nec,491SNR State or Territory Nominated - Regional,,,,407.0,13.0
252311 Dental Specialist,190SAS Skilled Australian Sponsored,,,,7.0,2.0
252311 Dental Specialist,491SNR State or Territory Nominated - Regional,,,,6.0,0.0
252312 Dentist,491SNR State or Territory Nominated - Regional,70.0,10.3,68.0,762.0,109.0
252411 Occupational Therapist,189PTS Points-Tested Stream,70.0,12.1,439.0,1994.0,690.0
252411 Occupational Therapist,190SAS Skilled Australian Sponsored,75.0,15.0,641.0,2684.0,566.0
252411 Occupational Therapist,491FSR Family Sponsored - Regional,,,,16.0,4.0
252411 Occupational Therapist,491SNR State or Territory Nominated - Regional,90.0,13.0,108.0,890.0,87.0
252511 Physiotherapist,189PTS Points-Tested Stream,75.0,38.6,686.0,2884.0,993.0
252511 Physiotherapist,190SAS Skilled Australian Sponsored,80.0,25.6,753.0,3462.0,695.0
252511 Physiotherapist,491FSR Family Sponsored - Regional,,,,48.0,18.0
252511 Physiotherapist,491SNR State or Territory Nominated - Regional,80.0,12.3,349.0,1382.0,205.0
252611 Podiatrist,189PTS Points-Tested Stream,,,,134.0,36.0
252611 Podiatrist,190SAS Skilled Australian Sponsored,,,,106.0,24.0
252611 Podiatrist,491SNR State or Territory Nominated - Regional,,,,31.0,3.0
252711 Audiologist,189PTS Points-Tested Stream,75.0,43.3,104.0,482.0,138.0
252711 Audiologist,190SAS Skilled Australian Sponsored,80.0,13.4,232.0,1526.0,124.0
252711 Audiologist,491FSR Family Sponsored - Regional,,,,19.0,6.0
252711 Audiologist,491SNR State or Territory Nominated - Regional,,,,1548.0,59.0
252712 Speech Pathologist,189PTS Points-Tested Stream,75.0,35.3,153.0,678.0,278.0
252712 Speech Pathologist,190SAS Skilled Australian Sponsored,70.0,13.2,76.0,613.0,184.0
252712 Speech Pathologist,491FSR Family Sponsored - Regional,,,,7.0,2.0
252712 Speech Pathologist,491SNR State or Territory Nominated - Regional,,,,98.0,24.0
253111 General Practitioner,189PTS Points-Tested Stream,75.0,32.4,703.0,3636.0,1624.0
253111 General Practitioner,190SAS Skilled Australian Sponsored,70.0,13.8,334.0,3069.0,1111.0
253111 General Practitioner,491FSR Family Sponsored - Regional,,,,8.0,1.0
253111 General Practitioner,491SNR State or Territory Nominated - Regional,,,,254.0,50.0
253112 Resident Medical Officer,189PTS Points-Tested Stream,,,,27.0,0.0
253112 Resident Medical Officer,190SAS Skilled Australian Sponsored,65.0,10.6,208.0,2473.0,380.0
253112 Resident Medical Officer,491SNR State or Territory Nominated - Regional,,,,283.0,18.0
253211 Anaesthetist,491SNR State or Territory Nominated - Regional,,,,29.0,1.0
253311 Specialist Physician (General Medicine),189PTS Points-Tested Stream,,,,94.0,30.0
253311 Specialist Physician (General Medicine),190SAS Skilled Australian Sponsored,,,,82.0,27.0
253311 Specialist Physician (General Medicine),491FSR Family Sponsored - Regional,,,,3.0,0.0
253311 Specialist Physician (General Medicine),491SNR State or Territory Nominated - Regional,,,,21.0,0.0
253312 Cardiologist,189PTS Points-Tested Stream,,,,26.0,9.0
